Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,PitOutTime,PitInTime,TrackStatus,IsAccurate,Position,StintLap,PaceDelta,IsWinner,IsRedBull,CompundOrdinal
VER,Red Bull Racing,52.0,94.906,SOFT,15.0,3.0,,,1,True,1.0,14,-1.099499999999992,True,True,0
VER,Red Bull Racing,53.0,95.6,SOFT,16.0,3.0,,,1,True,1.0,15,-0.3865000000000123,True,True,0
VER,Red Bull Racing,54.0,95.334,SOFT,17.0,3.0,,,1,True,1.0,16,-0.7259999999999991,True,True,0
VER,Red Bull Racing,55.0,95.184,SOFT,18.0,3.0,,,1,True,1.0,17,-0.9960000000000093,True,True,0
VER,Red Bull Racing,56.0,94.671,SOFT,19.0,3.0,,,1,True,1.0,18,-1.4289999999999878,True,True,0
VER,Red Bull Racing,57.0,94.923,SOFT,20.0,3.0,,,1,True,1.0,19,-1.1059999999999945,True,True,0
PER,Red Bull Racing,2.0,96.541,SOFT,5.0,1.0,,,1,True,4.0,1,-1.7319999999999993,False,True,0
PER,Red Bull Racing,3.0,97.297,SOFT,6.0,1.0,,,1,True,4.0,2,-1.054000000000002,False,True,0
PER,Red Bull Racing,4.0,97.722,SOFT,7.0,1.0,,,1,True,4.0,3,-0.57650000000001,False,True,0
PER,Red Bull Racing,5.0,98.044,SOFT,8.0,1.0,,,1,True,4.0,4,-0.3854999999999933,False,True,0
PER,Red Bull Racing,6.0,97.823,SOFT,9.0,1.0,,,1,True,4.0,5,-0.4490000000000123,False,True,0
PER,Red Bull Racing,7.0,97.821,SOFT,10.0,1.0,,,1,True,3.0,6,-0.6880000000000024,False,True,0
PER,Red Bull Racing,8.0,97.838,SOFT,11.0,1.0,,,1,True,3.0,7,-0.5290000000000106,False,True,0
PER,Red Bull Racing,9.0,97.596,SOFT,12.0,1.0,,,1,True,3.0,8,-1.0489999999999924,False,True,0
PER,Red Bull Racing,11.0,97.836,SOFT,14.0,1.0,,,1,True,2.0,9,-0.48050000000000637,False,True,0
PER,Red Bull Racing,14.0,95.606,HARD,2.0,2.0,,,1,True,6.0,1,-1.9480000000000075,False,True,2
PER,Red Bull Racing,15.0,96.815,HARD,3.0,2.0,,,1,True,3.0,2,-0.46049999999999613,False,True,2
PER,Red Bull Racing,16.0,95.783,HARD,4.0,2.0,,,1,True,2.0,3,-1.5630000000000024,False,True,2
PER,Red Bull Racing,17.0,96.454,HARD,5.0,2.0,,,1,True,2.0,4,-0.9380000000000024,False,True,2
PER,Red Bull Racing,18.0,96.311,HARD,6.0,2.0,,,1,True,2.0,5,-1.2409999999999997,False,True,2
PER,Red Bull Racing,19.0,96.038,HARD,7.0,2.0,,,1,True,2.0,6,-1.4369999999999976,False,True,2
PER,Red Bull Racing,20.0,96.278,HARD,8.0,2.0,,,1,True,2.0,7,-1.4229999999999876,False,True,2
PER,Red Bull Racing,21.0,96.165,HARD,9.0,2.0,,,1,True,2.0,8,-1.2269999999999897,False,True,2
PER,Red Bull Racing,22.0,96.037,HARD,10.0,2.0,,,1,True,2.0,9,-1.387999999999991,False,True,2
PER,Red Bull Racing,23.0,96.249,HARD,11.0,2.0,,,1,True,2.0,10,-1.1940000000000026,False,True,2
PER,Red Bull Racing,24.0,96.211,HARD,12.0,2.0,,,1,True,2.0,11,-1.1290000000000049,False,True,2
PER,Red Bull Racing,25.0,96.344,HARD,13.0,2.0,,,1,True,2.0,12,-1.1710000000000065,False,True,2
PER,Red Bull Racing,26.0,96.347,HARD,14.0,2.0,,,1,True,2.0,13,-1.4015000000000128,False,True,2
PER,Red Bull Racing,27.0,96.233,HARD,15.0,2.0,,,1,True,2.0,14,-0.9679999999999893,False,True,2
PER,Red Bull Racing,28.0,96.226,HARD,16.0,2.0,,,1,True,2.0,15,-1.0280000000000058,False,True,2
PER,Red Bull Racing,29.0,96.437,HARD,17.0,2.0,,,1,True,2.0,16,-0.6480000000000103,False,True,2
PER,Red Bull Racing,30.0,96.313,HARD,18.0,2.0,,,1,True,2.0,17,-0.7590000000000003,False,True,2
PER,Red Bull Racing,31.0,96.339,HARD,19.0,2.0,,,1,True,2.0,18,-0.6269999999999953,False,True,2
PER,Red Bull Racing,32.0,96.276,HARD,20.0,2.0,,,1,True,2.0,19,-0.659000000000006,False,True,2
PER,Red Bull Racing,33.0,96.564,HARD,21.0,2.0,,,1,True,2.0,20,-0.1770000000000067,False,True,2
PER,Red Bull Racing,34.0,96.378,HARD,22.0,2.0,,,1,True,2.0,21,-0.14000000000000057,False,True,2
PER,Red Bull Racing,35.0,96.776,HARD,23.0,2.0,,,1,True,2.0,22,0.42199999999999704,False,True,2
PER,Red Bull Racing,38.0,94.804,SOFT,2.0,3.0,,,1,True,2.0,1,-1.3250000000000028,False,True,0
PER,Red Bull Racing,39.0,94.607,SOFT,3.0,3.0,,,1,True,2.0,2,-1.2590000000000003,False,True,0
PER,Red Bull Racing,40.0,94.364,SOFT,4.0,3.0,,,1,True,2.0,3,-1.7069999999999936,False,True,0
PER,Red Bull Racing,41.0,94.4,SOFT,5.0,3.0,,,1,True,2.0,4,-1.2439999999999998,False,True,0
PER,Red Bull Racing,42.0,94.525,SOFT,6.0,3.0,,,1,True,2.0,5,-0.8144999999999811,False,True,0
PER,Red Bull Racing,43.0,94.797,SOFT,7.0,3.0,,,1,True,2.0,6,-0.49800000000000466,False,True,0
PER,Red Bull Racing,44.0,94.799,SOFT,8.0,3.0,,,1,True,2.0,7,-0.546999999999997,False,True,0
